time_ms,chat_message
287907,ㅋㅋㅋㅋㅋ
288307,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
289035,ㄹㅇㅋㅋ
291398,ㅋㅋㅋㅋㅋㅋㅋㅋ
292604,티모원딜도 탑이랑 템 똑같이 감?
292783,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
292946,나갈래?
292965,학
293009,헉\
293047,ㅂㅂ
293077,헉
293163,나갈래?
293317,ㄹㅇ
294154,잘가라
294312,헉
295049,헉
295408,헉
295435,ㄷㄷ
295439,헉
296024,ㄹㅇㅋㅋ
296120,헉
296645,나갈래??
296929,{:d_116:}{:d_116:}{:d_116:}
296986,나가자
297249,헉
297374,서걱
297441,ㅋㅋ정신나갔지
297700,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
298038,같이 보내자
298296,나갈래??
298488,ㅂㅂ
299381,얘 방 밴당하기 개힘든데 왜 저럼
299795,잘가
301103,허걱
301359,미안합니다
301463,{:d_116:}
301862,잘가라
301904,잘가라
301982,{:d_125:}
304504,ㅋㅋㅋㅋㅋㅋㅋ
306588,근데 물쥐님은 기분파라 선잘타야함
307459,헉
308809,고멘ㅋㅋ
309063,{:d_112:}{:d_112:}{:d_112:}{:d_112:}
309391,지구떠날래?
309696,무서워용 ㅠㅠ
310965,똥 못쌌냐 왜케 예민함
312428,고멘
313390,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
316186,오셨군요
317191,괴물쥐방은 보스패턴이야 얼굴에 나 화났다 긁지마라 이런거 보이면 그냥 안긁으면됨
317416,ㅋㅋㅋㅋㅋㅋㅋㅋ
320167,아니 뭘했길래 ㅋㅋㅋㅋ 방송 시작 5분만에 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
322536,물쥐야 오늘 개모 달리는거냐?
323555,지환ㅇ ㅏ오늘도 티모무침이냐
324938,또 누가 잘못했어
325117,여기서 밴 당할애들은 다 이유가 있어서 당하는거임 ㅋㅋㅋ
327213,배경화면 뭐임 근데
329381,물지 전두광행동 하지마
332276,물쥐님 챌린저 무조건 갔으면 좋겠다
335964,벤 당할 것 같은 멘트는 메모장 키고 거기에 써라
336815,배경화면 물쥐집
337696,캬
338481,못생긴 얼굴이나 보여주셈
338498,공공장소에서 예의를 갖춰라
338583,ㅈㄴ 독제자네
339097,ㅅㅅㅅㅅㅅㅅㅅㅅㅅㅅㅅㅅㅅㅅㅅㅅㅅㅅㅅㅅㅅㅅㅅㅅㅅㅅㅅㅅㅅㅅㅅㅅㅅㅅㅅㅅ
339769,런 ㅋㅋㅋ
341530,채팅창 글씨가 바뀐거같지
342039,ㅅㅅㅅㅅㅅㅅㅅㅅ
342541,ㅅㅅㅅㅅㅅ
343341,노래 mz하네
344441,런 ㅋㅋㅋㅋㅋㅋㅋ
344516,잘가라
344800,ㅈ망각 감지하고 바로 튀네 ㅋㅋㅋ
345665,꿀 다빨고 나가네 ㅋㅋㅋ
346135,ㅅㅅㅅㅅㅅㅅㅅㅅㅅㅅㅅㅅㅅㅅㅅㅅ
346649,갈거면 빨리쳐가지 왜끝나고감?
347176,빨리 좀 가지
347228,다 빨아먹고 사임 ㅋㅋ
348937,다음 누군데
349236,{:monsMonsNaga:}{:monsMonsNaga:}{:monsMonsNaga:}{:monsMonsNaga:}{:monsMonsNaga:}{:monsMonsNaga:}{:monsMonsNaga:}
350211,할거다하고 나가는거 아님?
350577,지금가도 되는데
350919,근데 이래도 살아나진않아
352317,어차피 우리흥 이제 끝인데 뭐
353968,갈거면 빨리가지 어째서..
354748,근데 그 밑에 있는 놈들도 노답인데
355388,몽규 말고도 ㅄ들뿐임
356319,님이 하셈
357736,나가도 안바뀜
359676,ㅎㅇ
364878,공익전쟁광
366394,쥐하
368763,?
368997,?
370156,?
370369,ㅋㅋㅋㅋㅋㅋ
370427,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
370931,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
371741,zzzzzzzzzzzzzzz
372528,채팅창 글꼴 바꼇네
372822,ㄷㄷㄷㄷ
373466,ㅋㅋㅋㅋㅋㅋ
373493,ㅋㅋㅋㅋㅋㅋㅋㅋ
373515,캬
373730,쥐하
374184,?
374276,닮았네
375460,18
376635,물소 ㄷㄷ;;
377333,으악
377474,머야 채팅창 와이라노
380139,엥
381042,ㅋㅋㅋㅋㅋㅋㅋㅋㅋ
381696,ㅈㄴ ㅄ같네
381855,엥
382170,아 저거
382220,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
383709,{:d_44:}
383749,예!
384220,ㅈㄴ 웃기노 ㅋㅋㅋㅋㅋㅋ
384728,zzzzzzzzzzz
386298,좀 야한데
386486,개못생겼더라
387621,여러분 저희 축구고트 호날두의 월드컵 우승이 얼마남지않았습니다 응원해주세요 SIUUUUUUUUU
388297,충전하는게
388984,중국도 안배끼고 주가 7프러 떨어뜨리게 한
392466,SIUUUUUUUUUUUU
392695,물쥐가 더 귀여워
396145,논필터?
396579,뭣?
398542,28은ㅋㅋㅋㅋㅋㅋㅋㅋㅋ
400546,{:monsMonsCheer:}
401548,siuuuuuuuu
402330,젖밍아웃 뭐지요
402403,Siuuuuu
407336,호날두가 우승하면 고트 바뀜 ?
409664,이이이이잉 기모링 이이이이이잉 기모링
410632,알아
414954,옵치 그낭 비빔밥임 ㅋㅋ
415139,"""알아"""
418194,ㅈ망겜 특징
419156,요아소비 콜라보하더라
425203,물쥐님 플래닛 언제하나요
426106,알아
426845,쥐하
429133,쥐커드 두두두두두두
429520,그럼 2부로…
432071,아직도 섭종 안 하나
432190,승인좀해줘
434945,?
434984,헉
435337,ㅇ?
435435,?
435714,오우 ㅅㅂ
435787,으아ㅣㄱ
435865,?
435867,어우 씹
436056,?
436240,뭐고
436466,으악
436533,깜짝아
436574,?
436600,??
436623,ㅅㅂ
436679,?
436680,?
436884,오우
436910,?
436941,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
436988,?
437137,..?
437160,?
437265,깜짝이야
437310,?
437350,ㅋㅋ
437354,씨밸
437361,?
437386,ㅋㅋㅋㅋㅋㅋㅋㅋ
437575,ㅅㅂ
437686,?
437813,으악
437856,?
437875,?
437886,깜짜기야
437914,으악
438099,?
438100,{:d_116:}
438171,아 내눈
438267,으악
438292,아
438326,ㅗㅜㅑ
438337,?
438409,헉
438456,ㅅㅂ
438489,아 선넘네
438695,어우 깜짝이야
438826,캬
438859,와 피부 ㅅㅂ
438967,와 ㅋㅋ
438984,으악
438993,으악
439106,??
439223,뭐지요 ㅅㅂ
439258,? ㅋㅋ
439305,으악
439314,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
439350,ㅅㅂ
439555,방금 이상한얼굴이
439984,악
440199,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
440357,존잘 ㄷㄷ
440449,아오 노랠라
440544,시밣
440617,엌
440647,zzzzzzzzzzzzzz
440781,으악
440809,아
440856,어흐
440936,ㅋㅋㅋㅋㅋㅋㅋㅋㅋ
441049,아오
441178,방금 괴물이
441223,으악
441337,갑자기 뭐야
441463,끄악
441490,ㅆㅂ
441497,{:d_98:}
441581,으악
441597,괴물인줄
441687,거대지환
441810,ㅋㅋㅋㅋㅋㅋㅋㅋㅋ
441845,악 내눈!!!!!!!
442225,아나 깜짯놀랫네
442247,?
442573,왜 와꾸 ㅋㅋ
442698,개잘생걌네
442761,얼빡뭐고
442778,아시발
443334,으악
443899,{:d_126:}
444005,방금 면상 뭐임
444269,내눈 습박;
444320,사과하세요
444448,깜짝이야
444561,어흐
444893,내 눈
444990,{:xkwhdStop:}
445227,{:d_126:}{:d_126:}{:d_126:}
445295,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
445880,물쥐님 방금 괴물이 나왔어
446037,코 ㅈㄴ 크당 ㅋㅋ
446396,??
446432,티모원딜{:d_126:}
446786,혼틈쥐;
447302,으악 괴물이다
447365,{:d_126:}
447384,사과해라
447629,좋은데
447724,화산폭발 일격기뭐임 방금?
448142,왜 면상을
448227,괴물님
448647,잘생겼아요
449000,깜짝이야ㅅㅂ
449513,올라잇 올라잇
449536,와 뭐냐??ㅋㅋㅋㅋ
449994,이런 확대범련
450197,여캠이었으면 ㅈ될뻔 ㅋㅋ
450224,캬~
450521,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
451257,아 ㅅㅂ 깜빡이좀
452403,와
452596,ㅋㅋㅋㅋㅋㅋ
452732,근데 한번만 더해주면 안됨?
453121,의사좀 불러주세요 ㅠ
453258,점프스케어 경고좀요 ;;
453474,어이가없네 ㅋㅋ
453866,아 내눈
454460,악
455327,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ귀엽네여
455551,{:d_126:}{:d_126:}{:d_126:}
455805,티모
456258,어이 쥐중기
456625,아오 밥 먹는데
456764,와꾸 ㅋㅋ
457617,여드름 개많이 났네 ㅋㅋㅋㅋㅋㅋㅋㅋㅋ
457720,캠킬때 321 카운트하고켜라 깜짝놀란다
458299,극혐이네
458443,사과받고싶습니다
458474,물쥐야 떡인지좀 눌러줘
458658,조온나 웃기네 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
458868,와 케이팝스타 얼빡샷 같았어요
459532,공포겜ㅅㅂ
460982,{:d_43:}{:d_43:}{:d_43:}{:d_43:}{:d_43:}{:d_43:}{:d_43:}{:d_43:}
461100,방금 티모실명먼데..............ap계수 0.7인데 조심해주렴
462265,?
462666,괴물이다
462834,오
463158,?
463954,피부 창났네 ㅋㅋㅋㅋ
464207,??
464296,?
464357,왕코괴물이당ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
464361,?
464367,?
464972,괴물쥐 ㅈㄴ 민망해하네
465484,?
465489,오..
466267,?
466325,??
466554,오
467069,dh............
467458,ㅓㅜㅑ
468142,자위?
468581,?
469506,미친ㅋㅋ
470100,오
470107,물쥐님 채팅창 글꼴이 왜이러나요
470454,남자임?
470895,캬
470922,캬
471412,ㄴㅇㅅ ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
472129,캬
472207,캬
472238,{:d_126:}
472280,캬
472384,{:d_126:}
472712,드디어
472979,캬
473114,아싸!!!!!!!!!!!!!!!
473166,캬
473667,캬 드디어
473852,zi
473950,캬
474468,{:monsMonsCheer:}
474741,ㅅㅅㅅ
474834,ㅅㅅㅅㅅㅅㅅㅅㅅㅅㅅㅅㅅㅅㅅㅅㅅ
475775,캬
475787,캬
475976,캬
476209,{:d_108:}{:d_108:}{:d_108:}{:d_108:}{:d_108:}{:d_108:}{:d_108:}{:d_108:}{:d_108:}{:d_108:}
476255,ㅅㅅㅅㅅㅅㅅㅅㅅㅅㅅㅅㅅ
476523,드디어
476674,ㅅㅅ
476795,캬
477070,캬
477816,개 ㅈ메이플 다운 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
477884,야호!
478066,캬
478066,ㅅㅅㅅㅅㅅㅅ
478077,도시테..
478668,-완-
479138,SIUUUUUUUUUUUUUUUUUUU
479155,내일도 하지마
479408,대물쥐 ㅋㅋ
480612,ㅈ롤 드가자
481050,{:monsMonsHeap:}{:monsMonsHeap:}{:monsMonsHeap:}{:monsMonsHeap:}{:monsMonsHeap:}{:monsMonsHeap:}
481255,혼테일 강점기 드디어
481383,텔텔텔텔을 하기로 한거냐
481478,ㅅㅅㅅㅅㅅㅅㅅㅅㅅ
482067,딜내기 하나요
482524,텔텔텔텔
482899,나이스!
484458,가치무침 안해서 다행 ㅋㅋ
486688,아 그럼 또 ㅈ롤이겟네
486827,메이플 따운!!!1
487078,히히
487818,싼식이 무기 못띄우면 2파티 이길수있냐
487918,폰트 왜이래여 근데
488228,역대급 순수노잼 텔 강점기 아웃
489181,최근 잘못잤나 이마에 뭐났네
489530,{:d_60:}{:d_60:}{:d_60:}{:d_60:}
490651,메이플 언제접어요??
491875,노가리 까는게 재밌는데
492080,오늘은 정글로 떠나나요?
492816,ㅋㅋㅋㅋㅋ
493447,가지메이플 그만하는구나
493909,키ᆢ
495267,캬
496762,삼식이는 우쨈>?????????????
496991,넹 알겠습니당
497059,재밌겠네
497953,텔 잡는거 걍 저챗임 ㅋㅋ
498226,굿굿
501047,380000
501503,안뜨는데 어카냐..
502348,{:d_126:}{:d_126:}
503164,캡틴있으면 지는거 아님?
503660,돈더쓰기 싫을듯
503670,ㄹㅇ....
503756,삼식이 몇개를 쓴거야 ㅋㅋㅋㅋㅋㅋㅋㅋ
504236,{:d_126:}
504496,35000개를 썼는데 ㅅㅂ ㅋㅋ
504625,4만개를 썼다 좀 봐줘라
506256,물쥐님 궁금한건 아닌데 저 설녀떡인지좀 들어가주실수 있나요
506455,근
506601,차피 질듯?
