time_ms,chat_message
1780570922336,어느종도 인종합니다
1780570923126,룩삼님 노래 같은거 많이 들으시는데 쌍베님 처럼 음향장비 업그레드 같은거 생각있으시나요??
1780570923664,헉
1780570924493,아마추워는 ㅇㅈ
1780570925995,{:d_43:}{:d_43:}{:d_43:}{:d_43:}
1780570926671,ㄱ-
1780570926829,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
1780570929235,호종컵때 디스곡 가사 생각하면ㅋ
1780570929424,헉
1780570932618,마치 신형만
1780570935530,글짓기는 ㅇㅈ
1780570936640,표현력이 좋음
1780570937131,랩 못하는 래퍼 이거 힙합이네요
1780570937417,책많이 읽어야겠다
1780570940996,아마추어다
1780570942081,글짓기 느낌으로 가사쓰면 되는거 아닌가요
1780570942448,날씨는 핫도그
1780570942473,가사 짓기는 아쉽게 됐네요
1780570942581,표현력이 좋아서 그런가
1780570942965,아버지 영향 많이받은듯
1780570944106,백일장나가봄?
1780570945213,룩하
1780570945467,"오,,, 평론가 등단하겠다"
1780570956075,캬
1780570958395,마져
1780570962731,책읽기는 인죵
1780570963087,책이 최고인듯
1780570965090,와우
1780570965973,오
1780570966901,ㄹㅇ이가
1780570967439,오
1780570967476,아하
1780570968770,와우
1780570971369,오
1780570971860,오늘 파이리 나옴?
1780570972318,와
1780570972505,머쉿당
1780570972900,오
1780570973350,힙합이네요
1780570973361,어케한거임
1780570973551,ㅋㅋㅋㅋㅋㅋ
1780570974657,갸루귀신 나옴?
1780570977149,힙하네요
1780570977292,지리네
1780570979608,종합예술인이시네
1780570980922,개힙해
1780570982322,힙하네
1780570982972,힙쟁이아님?
1780570984288,완전 갸루시네요
1780570984933,문학과 예체능을 함께
1780570985084,오 신기하다
1780570985156,능력자 ㄷㄷ
1780570985650,어렸을 때 책 읽으라는 이유가 있어
1780570985995,예술감각 받은거구나
1780570986706,언어 미술 패션 레스고
1780570990307,표현력 펼치기 좋은 방향인0
1780570990883,캬
1780570993533,오
1780570996685,어쩌다가...
1780570997844,책 읽는 룩삼 상상 안간다
1780570998630,어렷을때야설만읽엇는데
1780571000107,책 많이 읽으면 국어 개꿀인데
1780571000831,근데 왜...
1780571002795,악 쑤
1780571003971,룩주니어도 책읽어야겠지?
1780571011843,달빛조각사만 봄
1780571012020,엄친아 룩삼 ㄷ
1780571012879,ㅋㅋㅋㅋㅋㅋㅋ
1780571013694,{:d_116:}{:d_116:}
1780571014285,좀?
1780571014948,의북악
1780571017226,과학책은 안읽었구나
1780571018999,ㅋㅋㅋ
